created_at,tweet_id,full_text,airline,quote_count,reply_count,retweet_count,favorite_count,lang,username,tweet_url,token,label_score,label
Sat Nov 04 05:43:14 +0000 2023,"1,72E+23",centang biru modal bulanan aja bangga cuakkzzz,Garuda Indonesia,0,0,0,0,in,GarudaIndo86610,https://twitter.com/GarudaIndo86610/status/1720678067847548960,"['centang', 'biru', 'modal', 'bulanan', 'aja', 'bangga', 'cuakkzzz']",-2,negatif
Sat Nov 04 03:00:02 +0000 2023,"1,72E+23",nikmati potongan rp kemudahan cicilan tmrw pay tmrwpay transaksi pembelian tiket penerbangan website garuda indonesia dapatkan potongan rp info lengkap,Garuda Indonesia,0,0,0,3,in,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720636995158872302,"['nikmati', 'potongan', 'rp', 'kemudahan', 'cicilan', 'tmrw', 'pay', 'tmrwpay', 'transaksi', 'pembelian', 'tiket', 'penerbangan', 'website', 'garuda', 'indonesia', 'dapatkan', 'potongan', 'rp', 'info', 'lengkap']",4,positif
Sat Nov 04 02:00:00 +0000 2023,"1,72E+23",dapatkan potongan rp pemegang kartu debit btn prioritas desember kode promo gabtn halaman website aplikasi flygaruda memilih penerbangan info lengkap,Garuda Indonesia,0,0,1,5,in,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720621887418732870,"['dapatkan', 'potongan', 'rp', 'pemegang', 'kartu', 'debit', 'btn', 'prioritas', 'desember', 'kode', 'promo', 'gabtn', 'halaman', 'website', 'aplikasi', 'flygaruda', 'memilih', 'penerbangan', 'info', 'lengkap']",-8,negatif
Sat Nov 04 00:16:01 +0000 2023,"1,72E+23",sportify lol garuda indonesia ya,Garuda Indonesia,0,0,0,0,in,AyarAisenodni,https://twitter.com/AyarAisenodni/status/1720595718463955123,"['sportify', 'lol', 'garuda', 'indonesia', 'ya']",4,positif
Fri Nov 03 16:40:51 +0000 2023,"1,72E+23",miss pramugari garuda indonesia pict vid,Garuda Indonesia,0,0,0,2,in,apelmelon23327,https://twitter.com/apelmelon23327/status/1720481171929465054,"['miss', 'pramugari', 'garuda', 'indonesia', 'pict', 'vid']",-4,negatif
Fri Nov 03 15:38:59 +0000 2023,"1,72E+23",triple vs mini catering vs garuda indonesia ga gia boeing u er pk gii engines ge ge b cgk wiii on may,Garuda Indonesia,0,0,1,5,in,stamaviation,https://twitter.com/stamaviation/status/1720465606057836690,"['triple', 'vs', 'mini', 'catering', 'vs', 'garuda', 'indonesia', 'ga', 'gia', 'boeing', 'u', 'er', 'pk', 'gii', 'engines', 'ge', 'ge', 'b', 'cgk', 'wiii', 'on', 'may']",0,netral
Fri Nov 03 14:30:44 +0000 2023,"1,72E+22",r gaa a garuda indonesia,Garuda Indonesia,0,0,0,2,ja,ten_koji1103,https://twitter.com/ten_koji1103/status/1720448429015622065,"['r', 'gaa', 'a', 'garuda', 'indonesia']",0,netral
Fri Nov 03 14:25:44 +0000 2023,"1,72E+23",not the viral gundik garuda indonesia,Garuda Indonesia,0,0,0,0,in,luciddess,https://twitter.com/luciddess/status/1720447171923988658,"['not', 'the', 'viral', 'gundik', 'garuda', 'indonesia']",-2,negatif
Fri Nov 03 13:42:43 +0000 2023,"1,72E+23",wages expensenya sehat keuangannya garuda indonesia yg merugi sejenis startup yg menunggu,Garuda Indonesia,0,0,0,2,in,qinkqonk,https://twitter.com/qinkqonk/status/1720436344428827020,"['wages', 'expensenya', 'sehat', 'keuangannya', 'garuda', 'indonesia', 'yg', 'merugi', 'sejenis', 'startup', 'yg', 'menunggu']",-5,negatif
Fri Nov 03 13:37:19 +0000 2023,"1,72E+23",keberuntungan sungguh menghadiri appreciation night festival inaca eh door prize android tv anak perusahaan garuda indonesia group,Garuda Indonesia,1,2,0,11,in,alvinlie21,https://twitter.com/alvinlie21/status/1720434986674012638,"['keberuntungan', 'sungguh', 'menghadiri', 'appreciation', 'night', 'festival', 'inaca', 'eh', 'door', 'prize', 'android', 'tv', 'anak', 'perusahaan', 'garuda', 'indonesia', 'group']",6,positif
Fri Nov 03 13:25:24 +0000 2023,"1,72E+23",prestasi meneg bumn garuda indonesia rugi rp kuartal iii,Garuda Indonesia,0,0,0,0,in,NikoAkmal,https://twitter.com/NikoAkmal/status/1720431986718998694,"['prestasi', 'meneg', 'bumn', 'garuda', 'indonesia', 'rugi', 'rp', 'kuartal', 'iii']",-5,negatif
Fri Nov 03 12:14:09 +0000 2023,"1,72E+23",direktur utama garuda indonesia irfan setiaputra penghapusan tba maskapai leluasa menetapkan harga tiket,Garuda Indonesia,0,0,0,0,in,kompascom,https://twitter.com/kompascom/status/1720414055935140337,"['direktur', 'utama', 'garuda', 'indonesia', 'irfan', 'setiaputra', 'penghapusan', 'tba', 'maskapai', 'leluasa', 'menetapkan', 'harga', 'tiket']",1,positif
Fri Nov 03 11:31:52 +0000 2023,"1,72E+23",haaa ntar lobster indonesia garuda indonesia,Garuda Indonesia,0,1,0,0,in,SwingerSohee,https://twitter.com/SwingerSohee/status/1720403415082348858,"['haaa', 'ntar', 'lobster', 'indonesia', 'garuda', 'indonesia']",0,netral
Fri Nov 03 10:47:15 +0000 2023,"1,72E+23",ayo garuda indonesia,Garuda Indonesia,0,0,0,0,in,Mzlana22,https://twitter.com/Mzlana22/status/1720392186649518417,"['ayo', 'garuda', 'indonesia']",4,positif
Fri Nov 03 09:27:28 +0000 2023,"1,72E+23",ps menyelamatkan garuda indonesia,Garuda Indonesia,0,1,1,2,in,iam_zelt,https://twitter.com/iam_zelt/status/1720372108788961376,"['ps', 'menyelamatkan', 'garuda', 'indonesia']",0,netral
Fri Nov 03 07:31:00 +0000 2023,"1,72E+23",on friday october garuda indonesia ga boeing ng made history by taking off from jakartas soekarno hatta international airport cgk using blend of jet fuel derived from palm oil,Garuda Indonesia,0,0,1,4,en,airwaysmagazine,https://twitter.com/airwaysmagazine/status/1720342798451261537,"['on', 'friday', 'october', 'garuda', 'indonesia', 'ga', 'boeing', 'ng', 'made', 'history', 'by', 'taking', 'off', 'from', 'jakartas', 'soekarno', 'hatta', 'international', 'airport', 'cgk', 'using', 'blend', 'of', 'jet', 'fuel', 'derived', 'from', 'palm', 'oil']",0,netral
Fri Nov 03 03:10:51 +0000 2023,"1,72E+23",selamat pagi kak cek ga tanggal november berangkat jakarta wib denpasar wita terima kasih juno,Garuda Indonesia,0,0,0,0,in,garuda_cargo,https://twitter.com/garuda_cargo/status/1720277331410100429,"['selamat', 'pagi', 'kak', 'cek', 'ga', 'tanggal', 'november', 'berangkat', 'jakarta', 'wib', 'denpasar', 'wita', 'terima', 'kasih', 'juno']",-6,negatif
Fri Nov 03 03:00:01 +0000 2023,"1,72E+23",nikmati harga spesial november rute domestik pilihan dapatkan potongan tambahan rp masukkan kode promo tgif memilih jadwal penerbangan aplikasi flygaruda info lengkap,Garuda Indonesia,0,2,0,4,in,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720274603552190842,"['nikmati', 'harga', 'spesial', 'november', 'rute', 'domestik', 'pilihan', 'dapatkan', 'potongan', 'tambahan', 'rp', 'masukkan', 'kode', 'promo', 'tgif', 'memilih', 'jadwal', 'penerbangan', 'aplikasi', 'flygaruda', 'info', 'lengkap']",10,positif
Fri Nov 03 02:39:47 +0000 2023,"1,72E+23",info tiket piala dunia u indonsia,Garuda Indonesia,0,0,0,1,es,tentrem66475721,https://twitter.com/tentrem66475721/status/1720269513214820505,"['info', 'tiket', 'piala', 'dunia', 'u', 'indonsia']",-4,negatif
Fri Nov 03 02:05:15 +0000 2023,"1,72E+23",selamat pagi kak informasikan ga penerbangan terdekat tersedia tanggal november berkenan pengecekan berkala call center terima kasih juno,Garuda Indonesia,0,0,0,0,in,garuda_cargo,https://twitter.com/garuda_cargo/status/1720260821773869526,"['selamat', 'pagi', 'kak', 'informasikan', 'ga', 'penerbangan', 'terdekat', 'tersedia', 'tanggal', 'november', 'berkenan', 'pengecekan', 'berkala', 'call', 'center', 'terima', 'kasih', 'juno']",9,positif
Fri Nov 03 02:00:01 +0000 2023,"1,72E+23",dapatkan manfaat kartu permata bank garuda indonesia potongan rp pembelian tiket aplikasi flygaruda website garuda indonesia jumat sabtu info lengkap,Garuda Indonesia,0,0,0,1,in,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720259503923384438,"['dapatkan', 'manfaat', 'kartu', 'permata', 'bank', 'garuda', 'indonesia', 'potongan', 'rp', 'pembelian', 'tiket', 'aplikasi', 'flygaruda', 'website', 'garuda', 'indonesia', 'jumat', 'sabtu', 'info', 'lengkap']",2,positif
Fri Nov 03 00:28:32 +0000 2023,"1,72E+23",garuda indonesia berkali kali bermasalah korupsi berkali kali selamatkan apbn yg nota bene uang nggak flag carrier beban pailitkan uangnya industri strategis nasional,Garuda Indonesia,0,1,0,1,in,BoyRembaya,https://twitter.com/BoyRembaya/status/1720236483154768215,"['garuda', 'indonesia', 'berkali', 'kali', 'bermasalah', 'korupsi', 'berkali', 'kali', 'selamatkan', 'apbn', 'yg', 'nota', 'bene', 'uang', 'nggak', 'flag', 'carrier', 'beban', 'pailitkan', 'uangnya', 'industri', 'strategis', 'nasional']",-11,negatif
Fri Nov 03 00:13:47 +0000 2023,"1,72E+23",pt garuda indonesia persero tbk giia mencatatkan kerugian us juta direktur utama menyebut fundamental bisnis perusahaan penerbangan milik negara konsisten tumbuh selengkapnya,Garuda Indonesia,0,0,0,0,in,theiconomic,https://twitter.com/theiconomic/status/1720232769996116398,"['pt', 'garuda', 'indonesia', 'persero', 'tbk', 'giia', 'mencatatkan', 'kerugian', 'us', 'juta', 'direktur', 'utama', 'menyebut', 'fundamental', 'bisnis', 'perusahaan', 'penerbangan', 'milik', 'negara', 'konsisten', 'tumbuh', 'selengkapnya']",7,positif
Thu Nov 02 20:30:00 +0000 2023,"1,72E+23",worlds star airlines all nippon airways asiana airlines cathay pacific airways eva air garuda indonesia hainan airlines japan airlines korean air qatar airways singapore airlines skytrax,Garuda Indonesia,0,0,2,2,en,SILKROAD_FEED,https://twitter.com/SILKROAD_FEED/status/1720176452816326811,"['worlds', 'star', 'airlines', 'all', 'nippon', 'airways', 'asiana', 'airlines', 'cathay', 'pacific', 'airways', 'eva', 'air', 'garuda', 'indonesia', 'hainan', 'airlines', 'japan', 'airlines', 'korean', 'air', 'qatar', 'airways', 'singapore', 'airlines', 'skytrax']",-2,negatif
Thu Nov 02 15:51:01 +0000 2023,"1,72E+23",garuda indonesia boeing ng made history by taking off from jakartas soekarno hatta international airport using blend of jet fuel derived from palm oil,Garuda Indonesia,0,1,9,123,en,airwaysmagazine,https://twitter.com/airwaysmagazine/status/1720106245749702751,"['garuda', 'indonesia', 'boeing', 'ng', 'made', 'history', 'by', 'taking', 'off', 'from', 'jakartas', 'soekarno', 'hatta', 'international', 'airport', 'using', 'blend', 'of', 'jet', 'fuel', 'derived', 'from', 'palm', 'oil']",0,netral
Thu Nov 02 14:14:27 +0000 2023,"1,72E+23",siwi widi kalo salah selingkuhan bos garuda indonesia oplas pake duit rakyat,Garuda Indonesia,0,0,0,0,in,innerduvet,https://twitter.com/innerduvet/status/1720081942459412943,"['siwi', 'widi', 'kalo', 'salah', 'selingkuhan', 'bos', 'garuda', 'indonesia', 'oplas', 'pake', 'duit', 'rakyat']",-6,negatif
Thu Nov 02 14:03:13 +0000 2023,"1,72E+23",sisi gelap garuda indonesia kak,Garuda Indonesia,0,0,0,0,in,vnilableu,https://twitter.com/vnilableu/status/1720079118119956935,"['sisi', 'gelap', 'garuda', 'indonesia', 'kak']",-4,negatif
Thu Nov 02 13:27:18 +0000 2023,"1,72E+23",palm oil powered planes indonesia just made it happen check out how garuda indonesia boeing ng made history with its saf powered flight its blend worth soaring for read more at,Garuda Indonesia,0,0,0,0,en,AirlineHub1,https://twitter.com/AirlineHub1/status/1720070075581857834,"['palm', 'oil', 'powered', 'planes', 'indonesia', 'just', 'made', 'it', 'happen', 'check', 'out', 'how', 'garuda', 'indonesia', 'boeing', 'ng', 'made', 'history', 'with', 'its', 'saf', 'powered', 'flight', 'its', 'blend', 'worth', 'soaring', 'for', 'read', 'more', 'at']",1,positif
Thu Nov 02 12:51:24 +0000 2023,"1,72E+23",jelajahi balikpapan garuda indonesia terbang nyaman pesawat berbadan lebar jakarta november pesan tiketnya aplikasi flygaruda,Garuda Indonesia,1,1,0,6,in,IndonesiaGaruda,https://twitter.com/IndonesiaGaruda/status/1720061041252692340,"['jelajahi', 'balikpapan', 'garuda', 'indonesia', 'terbang', 'nyaman', 'pesawat', 'berbadan', 'lebar', 'jakarta', 'november', 'pesan', 'tiketnya', 'aplikasi', 'flygaruda']",-4,negatif
Thu Nov 02 12:31:58 +0000 2023,"1,72E+23",november full senyum tontonan timnas semoga hasilnya bikin senyum muehehe timnasgoal,Garuda Indonesia,0,2,2,8,in,PANDHITADHYASA1,https://twitter.com/PANDHITADHYASA1/status/1720056151243686188,"['november', 'full', 'senyum', 'tontonan', 'timnas', 'semoga', 'hasilnya', 'bikin', 'senyum', 'muehehe', 'timnasgoal']",2,positif
Thu Nov 02 12:19:22 +0000 2023,"1,72E+23",garuda indonesia maung malaysia palestina saudara serumpun bersatu kemanusiaan,Garuda Indonesia,0,0,0,1,in,adi_rossoneri,https://twitter.com/adi_rossoneri/status/1720052979766906932,"['garuda', 'indonesia', 'maung', 'malaysia', 'palestina', 'saudara', 'serumpun', 'bersatu', 'kemanusiaan']",-1,negatif
Thu Nov 02 12:19:14 +0000 2023,"1,72E+23",sobat plus laporan keuangan garuda indonesia kuartal maskapai membukukan untung rugi,Garuda Indonesia,0,0,1,2,in,IndoAviation,https://twitter.com/IndoAviation/status/1720052949664354804,"['sobat', 'plus', 'laporan', 'keuangan', 'garuda', 'indonesia', 'kuartal', 'maskapai', 'membukukan', 'untung', 'rugi']",-8,negatif
Thu Nov 02 11:57:31 +0000 2023,"1,72E+23",kontingen sanggar aekhula kabupaten nias barat ajak garuda indonesia gitc,Garuda Indonesia,0,0,0,0,in,prawiranews,https://twitter.com/prawiranews/status/1720047483496341630,"['kontingen', 'sanggar', 'aekhula', 'kabupaten', 'nias', 'barat', 'ajak', 'garuda', 'indonesia', 'gitc']",1,positif
Thu Nov 02 11:55:48 +0000 2023,"1,72E+23",report garuda indonesia boeing pk gnm built took substantial tailstrike damage during an aborted bounced landing on runway at banjarmasin airport waoo flight from jakarta went around and returned for safe landing about min later no,Garuda Indonesia,0,1,11,46,en,JacdecNew,https://twitter.com/JacdecNew/status/1720047052611109294,"['report', 'garuda', 'indonesia', 'boeing', 'pk', 'gnm', 'built', 'took', 'substantial', 'tailstrike', 'damage', 'during', 'an', 'aborted', 'bounced', 'landing', 'on', 'runway', 'at', 'banjarmasin', 'airport', 'waoo', 'flight', 'from', 'jakarta', 'went', 'around', 'and', 'returned', 'for', 'safe', 'landing', 'about', 'min', 'later', 'no']",0,netral
Thu Nov 02 11:52:37 +0000 2023,"1,72E+23",maskapai bumn garuda indonesia citilink pelita air merger subholding aviasi injourney,Garuda Indonesia,0,0,0,2,in,kumparan,https://twitter.com/kumparan/status/1720046247657246846,"['maskapai', 'bumn', 'garuda', 'indonesia', 'citilink', 'pelita', 'air', 'merger', 'subholding', 'aviasi', 'injourney']",7,positif
Thu Nov 02 11:29:53 +0000 2023,"1,72E+23",thread skandal internal garuda indonesia kayanya akunnya udah kesuspend yg bikin thread,Garuda Indonesia,0,1,0,2,in,daeyooooooo,https://twitter.com/daeyooooooo/status/1720040526773457046,"['thread', 'skandal', 'internal', 'garuda', 'indonesia', 'kayanya', 'akunnya', 'udah', 'kesuspend', 'yg', 'bikin', 'thread']",-2,negatif
Thu Nov 02 10:19:20 +0000 2023,"1,72E+23",hhhhhsemangat test today,Garuda Indonesia,0,0,0,0,en,Achmadficky10,https://twitter.com/Achmadficky10/status/1720022774163673572,"['hhhhhsemangat', 'test', 'today']",0,netral
Thu Nov 02 10:08:18 +0000 2023,"1,72E+23",momen pertamina garuda indonesia uji coba bahan bakar ramah lingkungn bioavtur berhasil bioavtur buatan pertamina pd pesawat komersil garuda indonesia dgn tujuan jakarta solo loh sobi,Garuda Indonesia,0,0,0,0,in,inikamindonesia,https://twitter.com/inikamindonesia/status/1720019996443840760,"['momen', 'pertamina', 'garuda', 'indonesia', 'uji', 'coba', 'bahan', 'bakar', 'ramah', 'lingkungn', 'bioavtur', 'berhasil', 'bioavtur', 'buatan', 'pertamina', 'pd', 'pesawat', 'komersil', 'garuda', 'indonesia', 'dgn', 'tujuan', 'jakarta', 'solo', 'loh', 'sobi']",4,positif
Thu Nov 02 09:08:55 +0000 2023,"1,72E+23",masyarakat indonesia berdonasi lembaga yg kak klo kakk cari info lembaga amal donasi mencapai miliaran rupiah pemerintah indonesia mengirimkan bantuan dg pesawat hercules pesawat boeing garuda indonesia,Garuda Indonesia,0,0,0,2,in,DimitriYusuf,https://twitter.com/DimitriYusuf/status/1720005051643834617,"['masyarakat', 'indonesia', 'berdonasi', 'lembaga', 'yg', 'kak', 'klo', 'kakk', 'cari', 'info', 'lembaga', 'amal', 'donasi', 'mencapai', 'miliaran', 'rupiah', 'pemerintah', 'indonesia', 'mengirimkan', 'bantuan', 'dg', 'pesawat', 'hercules', 'pesawat', 'boeing', 'garuda', 'indonesia']",-14,negatif
Thu Nov 02 08:34:38 +0000 2023,"1,72E+23",conflict update mengantar bantuan kemanusiaan buah pesawat c hercules tentara nasional indonesia angkatan udara skuadron pesawat boeing garuda indonesia menyertai konvoi,Garuda Indonesia,6,14,100,303,in,Avolanza,https://twitter.com/Avolanza/status/1719996427512975546,"['conflict', 'update', 'mengantar', 'bantuan', 'kemanusiaan', 'buah', 'pesawat', 'c', 'hercules', 'tentara', 'nasional', 'indonesia', 'angkatan', 'udara', 'skuadron', 'pesawat', 'boeing', 'garuda', 'indonesia', 'menyertai', 'konvoi']",-16,negatif
Thu Nov 02 06:26:39 +0000 2023,"1,72E+23",bismillah alhamdulillah indonesia malaysia kirim bantuan insyaallah jadwalkan tgl buah pesawat c hercules tni au skuadron amp pesawat boeing garuda indonesia,Garuda Indonesia,5,5,171,323,in,NinzExe07,https://twitter.com/NinzExe07/status/1719964216457838933,"['bismillah', 'alhamdulillah', 'indonesia', 'malaysia', 'kirim', 'bantuan', 'insyaallah', 'jadwalkan', 'tgl', 'buah', 'pesawat', 'c', 'hercules', 'tni', 'au', 'skuadron', 'amp', 'pesawat', 'boeing', 'garuda', 'indonesia']",6,positif
Thu Nov 02 06:00:14 +0000 2023,"1,72E+23",berkomitmen mengurangi emisi karbon garuda indonesia merilis penerbangan khusus sustainable aviation fuel saf bioavtur j nama,Garuda Indonesia,0,0,0,0,in,DestinAsianID,https://twitter.com/DestinAsianID/status/1719957570268324064,"['berkomitmen', 'mengurangi', 'emisi', 'karbon', 'garuda', 'indonesia', 'merilis', 'penerbangan', 'khusus', 'sustainable', 'aviation', 'fuel', 'saf', 'bioavtur', 'j', 'nama']",3,positif
Thu Nov 02 05:56:25 +0000 2023,"1,72E+22",beban usaha melonjak garuda indonesia rugi rp kuartal iii irfan setiaputra,Garuda Indonesia,0,0,0,0,in,Jurnalpatroli_,https://twitter.com/Jurnalpatroli_/status/1719956610947391663,"['beban', 'usaha', 'melonjak', 'garuda', 'indonesia', 'rugi', 'rp', 'kuartal', 'iii', 'irfan', 'setiaputra']",-13,negatif
Thu Nov 02 05:04:08 +0000 2023,"1,72E+22",kirim bantuan buah pesawat c hercules tni au skuadron amp pesawat boeing garuda indonesia menyertai konvoi bantuan lepas landas pda november bandara mesir pda november,Garuda Indonesia,0,0,0,0,in,Abdullahhoods,https://twitter.com/Abdullahhoods/status/1719943451360522712,"['kirim', 'bantuan', 'buah', 'pesawat', 'c', 'hercules', 'tni', 'au', 'skuadron', 'amp', 'pesawat', 'boeing', 'garuda', 'indonesia', 'menyertai', 'konvoi', 'bantuan', 'lepas', 'landas', 'pda', 'november', 'bandara', 'mesir', 'pda', 'november']",-7,negatif
Thu Nov 02 04:22:45 +0000 2023,"1,72E+22",temukan dapatkan tiket garuda indonesia garuda miles rp shopee,Garuda Indonesia,0,0,0,0,in,Remi064590,https://twitter.com/Remi064590/status/1719933036022919173,"['temukan', 'dapatkan', 'tiket', 'garuda', 'indonesia', 'garuda', 'miles', 'rp', 'shopee']",2,positif
Thu Nov 02 03:34:29 +0000 2023,"1,72E+23",kabarkan dunia indonesia malaysia mengirim bantuan kemanusiaan palestina buah pesawat c hercules tni au skuadron boeing garuda indonesia thread,Garuda Indonesia,0,1,0,1,in,Yusufayyash,https://twitter.com/Yusufayyash/status/1719920889347866869,"['kabarkan', 'dunia', 'indonesia', 'malaysia', 'mengirim', 'bantuan', 'kemanusiaan', 'palestina', 'buah', 'pesawat', 'c', 'hercules', 'tni', 'au', 'skuadron', 'boeing', 'garuda', 'indonesia', 'thread']",-5,negatif
Thu Nov 02 03:32:53 +0000 2023,"1,72E+23",utang swasta us lihat perilaku hutang menimpa garuda indonesia selisih kurs beban neraca keuangan menjual produknya rupiah dikumpulkan membayar hutang us,Garuda Indonesia,0,1,0,1,in,asboediono_id,https://twitter.com/asboediono_id/status/1719920486057193811,"['utang', 'swasta', 'us', 'lihat', 'perilaku', 'hutang', 'menimpa', 'garuda', 'indonesia', 'selisih', 'kurs', 'beban', 'neraca', 'keuangan', 'menjual', 'produknya', 'rupiah', 'dikumpulkan', 'membayar', 'hutang', 'us']",-29,negatif
Thu Nov 02 03:29:11 +0000 2023,"1,72E+23",buah pesawat c hercules tentera nasional indonesia angkatan udara skuadron pesawat boeing garuda indonesia menyertai konvoi bantuan kemanusiaan palestin,Garuda Indonesia,1,1,22,62,in,TVPertiwi_MY,https://twitter.com/TVPertiwi_MY/status/1719919554888106307,"['buah', 'pesawat', 'c', 'hercules', 'tentera', 'nasional', 'indonesia', 'angkatan', 'udara', 'skuadron', 'pesawat', 'boeing', 'garuda', 'indonesia', 'menyertai', 'konvoi', 'bantuan', 'kemanusiaan', 'palestin']",-16,negatif
Thu Nov 02 03:25:02 +0000 2023,"1,72E+23",fyi indonesia bergabung malaysia mengirimkan bantuan kemanusiaan palestina pesawat hercules c tni angkatan udara skuadron pesawat garuda indonesia boeing mengikuti konvoi bantuan ketiga pesawat lepas landas,Garuda Indonesia,123,246,3770,7726,in,rahmdess27,https://twitter.com/rahmdess27/status/1719918512603643922,"['fyi', 'indonesia', 'bergabung', 'malaysia', 'mengirimkan', 'bantuan', 'kemanusiaan', 'palestina', 'pesawat', 'hercules', 'c', 'tni', 'angkatan', 'udara', 'skuadron', 'pesawat', 'garuda', 'indonesia', 'boeing', 'mengikuti', 'konvoi', 'bantuan', 'ketiga', 'pesawat', 'lepas', 'landas']",-21,negatif
